ACCESSION_NUMBER,HOLDING_ID,FILENAME_TIMESTAMP,FILING_DATE,ISSUER_NAME,ISSUER_LEI,ISSUER_TITLE,ISSUER_CUSIP,BALANCE,UNIT,OTHER_UNIT_DESC,CURRENCY_CODE,CURRENCY_VALUE,EXCHANGE_RATE,PERCENTAGE,PAYOFF_PROFILE,ASSET_CAT,OTHER_ASSET,ISSUER_TYPE,OTHER_ISSUER,INVESTMENT_COUNTRY,IS_RESTRICTED_SECURITY,FAIR_VALUE_LEVEL,DERIVATIVE_CAT,YYYYQQ,SUBMISSION_FILE_NUM,SUBMISSION_SUB_TYPE,SUBMISSION_IS_LAST_FILING,SUBMISSION_REPORT_ENDING_PERIOD,SUBMISSION_REPORT_DATE,SUBMISSION_FILING_DATE,REGISTRANT_CIK,REGISTRANT_REGISTRANT_NAME,REGISTRANT_FILE_NUM,REGISTRANT_LEI,REGISTRANT_ADDRESS1,REGISTRANT_ADDRESS2,REGISTRANT_CITY,REGISTRANT_STATE,REGISTRANT_COUNTRY,REGISTRANT_ZIP,REGISTRANT_PHONE,FUND_REPORTED_INFO_SERIES_NAME,FUND_REPORTED_INFO_SERIES_ID,FUND_REPORTED_INFO_SERIES_LEI,FUND_REPORTED_INFO_TOTAL_ASSETS,FUND_REPORTED_INFO_TOTAL_LIABILITIES,FUND_REPORTED_INFO_NET_ASSETS,FUND_REPORTED_INFO_ASSETS_ATTRBT_TO_MISC_SECURITY,FUND_REPORTED_INFO_ASSETS_INVESTED,FUND_REPORTED_INFO_BORROWING_PAY_WITHIN_1YR,FUND_REPORTED_INFO_CTRLD_COMPANIES_PAY_WITHIN_1YR,FUND_REPORTED_INFO_OTHER_AFFILIA_PAY_WITHIN_1YR,FUND_REPORTED_INFO_OTHER_PAY_WITHIN_1YR,FUND_REPORTED_INFO_BORROWING_PAY_AFTER_1YR,FUND_REPORTED_INFO_CTRLD_COMPANIES_PAY_AFTER_1YR,FUND_REPORTED_INFO_OTHER_AFFILIA_PAY_AFTER_1YR,FUND_REPORTED_INFO_OTHER_PAY_AFTER_1YR,FUND_REPORTED_INFO_DELAYED_DELIVERY,FUND_REPORTED_INFO_STANDBY_COMMITMENT,FUND_REPORTED_INFO_LIQUIDATION_PREFERENCE,FUND_REPORTED_INFO_CASH_NOT_RPTD_IN_C_OR_D,FUND_REPORTED_INFO_CREDIT_SPREAD_3MON_INVEST,FUND_REPORTED_INFO_CREDIT_SPREAD_1YR_INVEST,FUND_REPORTED_INFO_CREDIT_SPREAD_5YR_INVEST,FUND_REPORTED_INFO_CREDIT_SPREAD_10YR_INVEST,FUND_REPORTED_INFO_CREDIT_SPREAD_30YR_INVEST,FUND_REPORTED_INFO_CREDIT_SPREAD_3MON_NONINVEST,FUND_REPORTED_INFO_CREDIT_SPREAD_1YR_NONINVEST,FUND_REPORTED_INFO_CREDIT_SPREAD_5YR_NONINVEST,FUND_REPORTED_INFO_CREDIT_SPREAD_10YR_NONINVEST,FUND_REPORTED_INFO_CREDIT_SPREAD_30YR_NONINVEST,FUND_REPORTED_INFO_IS_NON_CASH_COLLATERAL,FUND_REPORTED_INFO_NET_REALIZE_GAIN_NONDERIV_MON1,FUND_REPORTED_INFO_NET_UNREALIZE_AP_NONDERIV_MON1,FUND_REPORTED_INFO_NET_REALIZE_GAIN_NONDERIV_MON2,FUND_REPORTED_INFO_NET_UNREALIZE_AP_NONDERIV_MON2,FUND_REPORTED_INFO_NET_REALIZE_GAIN_NONDERIV_MON3,FUND_REPORTED_INFO_NET_UNREALIZE_AP_NONDERIV_MON3,FUND_REPORTED_INFO_SALES_FLOW_MON1,FUND_REPORTED_INFO_REINVESTMENT_FLOW_MON1,FUND_REPORTED_INFO_REDEMPTION_FLOW_MON1,FUND_REPORTED_INFO_SALES_FLOW_MON2,FUND_REPORTED_INFO_REINVESTMENT_FLOW_MON2,FUND_REPORTED_INFO_REDEMPTION_FLOW_MON2,FUND_REPORTED_INFO_SALES_FLOW_MON3,FUND_REPORTED_INFO_REINVESTMENT_FLOW_MON3,FUND_REPORTED_INFO_REDEMPTION_FLOW_MON3,INTEREST_RATE_RISK_INTEREST_RATE_RISK_ID,INTEREST_RATE_RISK_CURRENCY_CODE,INTEREST_RATE_RISK_INTRST_RATE_CHANGE_3MON_DV01,INTEREST_RATE_RISK_INTRST_RATE_CHANGE_1YR_DV01,INTEREST_RATE_RISK_INTRST_RATE_CHANGE_5YR_DV01,INTEREST_RATE_RISK_INTRST_RATE_CHANGE_10YR_DV01,INTEREST_RATE_RISK_INTRST_RATE_CHANGE_30YR_DV01,INTEREST_RATE_RISK_INTRST_RATE_CHANGE_3MON_DV100,INTEREST_RATE_RISK_INTRST_RATE_CHANGE_1YR_DV100,INTEREST_RATE_RISK_INTRST_RATE_CHANGE_5YR_DV100,INTEREST_RATE_RISK_INTRST_RATE_CHANGE_10YR_DV100,INTEREST_RATE_RISK_INTRST_RATE_CHANGE_30YR_DV100,BORROWER_BORROWER_ID,BORROWER_NAME,BORROWER_LEI,BORROWER_AGGREGATE_VALUE,BORROW_AGGREGATE_BORROW_AGGREGATE_ID,BORROW_AGGREGATE_AMOUNT,BORROW_AGGREGATE_COLLATERAL,BORROW_AGGREGATE_INVESTMENT_CAT,BORROW_AGGREGATE_OTHER_DESC,MONTHLY_TOTAL_RETURN_MONTHLY_TOTAL_RETURN_ID,MONTHLY_TOTAL_RETURN_CLASS_ID,MONTHLY_TOTAL_RETURN_MONTHLY_TOTAL_RETURN1,MONTHLY_TOTAL_RETURN_MONTHLY_TOTAL_RETURN2,MONTHLY_TOTAL_RETURN_MONTHLY_TOTAL_RETURN3,MONTHLY_RETURN_CAT_INSTRUMENT_ASSET_CAT,MONTHLY_RETURN_CAT_INSTRUMENT_INSTRUMENT_KIND,MONTHLY_RETURN_CAT_INSTRUMENT_NET_REALIZED_GAIN_MON1,MONTHLY_RETURN_CAT_INSTRUMENT_NET_UNREALIZED_AP_MON1,MONTHLY_RETURN_CAT_INSTRUMENT_NET_REALIZED_GAIN_MON2,MONTHLY_RETURN_CAT_INSTRUMENT_NET_UNREALIZED_AP_MON2,MONTHLY_RETURN_CAT_INSTRUMENT_NET_REALIZED_GAIN_MON3,MONTHLY_RETURN_CAT_INSTRUMENT_NET_UNREALIZED_AP_MON3,IDENTIFIERS_IDENTIFIERS_ID,IDENTIFIERS_IDENTIFIER_ISIN,IDENTIFIERS_IDENTIFIER_TICKER,IDENTIFIERS_OTHER_IDENTIFIER,IDENTIFIERS_OTHER_IDENTIFIER_DESC
0001145549-21-032372,44208132,1609488000,2021-05-28,CITADEL SECURITIES LP,549300NV5RXBUS3X7L47,Citadel Securities LP,17288YAD4,3500000.0,PA,,USD,3467905.0,,0.4270135796,Long,LON,,CORP,,US,N,2.0,,2021Q2,,NPORT-P,N,30-JUN-2021,31-MAR-2021,28-MAY-2021,1318342,INVESTMENT MANAGERS SERIES TRUST,811-21719,549300ESWU4ZNAH5Y054,235 WEST GALENA STREET,,MILWAUKEE,US-WI,US,532123948,4142992000,Palmer Square Income Plus Fund,S000044040,549300BE2Y2R1X2JCK82,911985701.89,99855791.81,812129910.08,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,22186058.04,0.0,0.0,60087262.91,1170.636513839315,19611.800879390386,40238.00621884369,26390.329181716676,4069.067653736731,19.835142385356,2231.975383662351,28960.757004002782,18036.652241830703,151.480110182802,N,512549.07,225498.59,2122944.68,-2041983.44,2243663.44,-4073255.46,41322354.98,0.0,-22866726.59,56779597.05,0.0,-11660991.49,68017570.41,2382801.07,-10184214.02,121254.0,USD,12185.03876911238,21513.577070817893,62080.4679876046,61162.73196293806,4146.45523174383,1218503.8769112383,2151357.7070817887,6208046.79876046,6116273.196293806,414645.52317438304,,,,,,,,,,323147,C000136684,0.2988112,0.1986441,-0.074056,,,,,,,,,,,,,
0001752724-21-113544,43870163,1609488000,2021-05-26,CITADEL SECURITIES LLC,12UUJYTN7D3SW8KCSG25,CITADEL SECURITIES LLC,000000000,2234395.0,PA,,USD,2234395.0,,0.09978035447,Long,RA,,CORP,,US,N,2.0,,2021Q4,,NPORT-P,N,31-DEC-2021,31-MAR-2021,26-MAY-2021,916403,Voya Variable Products Trust,811-08220,549300CBTNO8II6R5O17,7337 East Doubletree Ranch Road,Suite 100,Scottsdale,US-AZ,US,85258,1-800-992-0180,VOYA MIDCAP OPPORTUNITIES PORTFOLIO,S000008638,54930021W4F6X0DDN123,2299021492.36,59707940.26,2239313552.1,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,171276.62,,,,,,,,,,,N,50119191.24,-115345840.25,51724597.84,77308650.89,24514023.29,-81195672.85,19788787.83,0.0,-60598159.75,7786345.12,0.0,-27201662.69,6929213.03,0.0,-29869305.72,,,,,,,,,,,,,307976.0,STATE STREET BANK AND TRUST COMPANY,571474TGEMMWANRLN572,25157624.89,,,,,,319976,C000023592,-2.9222677,5.7796508,-2.4473534,,,,,,,,,,,,,
0001752724-21-140119,45645523,1609488000,2021-06-28,Citadel Securities LP,549300NV5RXBUS3X7L47,Citadel Securities LP 2021 Term Loan B,17288YAD4,935000.0,PA,,USD,925650.0,,0.374494556603,Long,LON,,CORP,,US,N,2.0,,2021Q4,,NPORT-P,N,31-OCT-2021,30-APR-2021,28-JUN-2021,723620,NEUBERGER BERMAN INCOME FUNDS,811-03802,54930087F7MMJ21RIJ90,1290 AVENUE OF THE AMERICAS,,NEW YORK,US-NY,US,10104,212-476-8800,Neuberger Berman Floating Rate Income Fund,S000027216,549300KGVQX5MOAQV035,277829600.48,30656448.38,247173152.1,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,27811678.79,0.0,0.0,0.0,0.0,0.0,-471.0,0.0,0.0,-10.0,-3061.0,-46421.0,-3569.0,0.0,N,-276197.28,500587.05,116569.46,-652090.96,35623.58,338579.99,26777722.4,604733.86,6659730.49,23235181.2,500673.56,3849756.03,17649610.54,646055.45,3665679.74,126004.0,USD,-225.02,-1945.59,-1563.25,-397.39,-3553.85,-22502.11,-194556.72,-156327.36,-39736.96,-355383.77,,,,,,,,,,333918,C000082159,0.38,-0.1,0.41,,,,,,,,,,,,,
0001752724-21-132281,45192045,1609488000,2021-06-22,Citadel Finance LLC,549300BQL283NCR7P163,Citadel Finance LLC,17287HAA8,2500000.0,PA,,USD,2473246.05,,0.509270569738,Long,DBT,,CORP,,US,N,2.0,,2021Q1,,NPORT-P,N,31-MAR-2021,31-MAR-2021,22-JUN-2021,883622,IVY FUNDS,811-06569,UJ5MWG3K37CY01MVRY13,6300 Lamar Avenue,P.O. Box 29217,Shawnee Mission,US-KS,US,66201,18007776472,Ivy Global Bond Fund,S000024837,549300BUZB6CSOP46X59,487912562.12,2267760.13,485644801.99,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,-22493.73037276,-14420.19894639,-50671.96349854,-34288.96215779,-2723.04029708,-14244.76110775,-1985.122832,-5725.67565597,-6001.61371676,0.0,N,144190.72,-2457046.72,5209.58,-4083815.98,178641.03,-5315176.8,8775120.54,512058.48,7969651.09,9758950.09,1066620.11,11864669.1,11498004.13,1064098.05,7845593.52,124195.0,USD,-872.9238768,-28629.43293147,-111909.179058,-52929.12537064,-280.34717545,-100682.47096256,-2882811.67945679,-11091894.49439415,-5181269.21006496,-46499.20672058,317602.0,Citadel Clearing LLC,5493001I7IJ4CW6Q9N27,421930.05,,,,,,328225,C000122165,-0.00229749,-0.00701878,-0.00880507,,,,,,,,,,,,,
0001752724-21-133409,45262619,1609488000,2021-06-23,CITADEL LP,549300IPM6EKPVUPFL67,Citadel LP,17288XAB0,50000.0,PA,,USD,53051.13,,0.262209114277,Long,DBT,,CORP,,US,N,2.0,,2021Q4,,NPORT-P,N,31-OCT-2021,30-APR-2021,23-JUN-2021,1559109,ETFis Series Trust I,811-22819,5493002CWTVLBPSYFT98,1540 Broadway,16th Floor,New York,US-NY,US,10036,347-903-7347,Virtus Newfleet Multi-Sector Bond ETF,S000048895,549300GEZPD8IV08PZ43,21540181.14,1307806.63,20232374.51,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,19975.0,0.0,0.0,0.0,0.0,0.0,-162.0,-2122.0,-2192.0,0.0,0.0,-1106.0,-2440.0,-1191.0,N,38371.13,-204418.41,35541.86,-197225.41,8084.92,130446.21,0.0,0.0,0.0,0.0,0.0,0.0,1266796.65,0.0,0.0,124476.0,USD,0.0,-17.0,-1262.0,-3966.0,-3087.0,0.0,-1710.0,-126248.0,-396608.0,-308688.0,,,,,,,,,,329081,C000153845,-0.5977,-0.5598,1.0903,,,,,,,,,,,,,
0001752724-21-133409,45263000,1609488000,2021-06-23,CITADEL SECURITIES LP,549300NV5RXBUS3X7L47,CITADEL SECURITIES LP,17288YAD4,20000.0,PA,,USD,19843.8,,0.098079441887,Long,LON,,CORP,,US,N,2.0,,2021Q4,,NPORT-P,N,31-OCT-2021,30-APR-2021,23-JUN-2021,1559109,ETFis Series Trust I,811-22819,5493002CWTVLBPSYFT98,1540 Broadway,16th Floor,New York,US-NY,US,10036,347-903-7347,Virtus Newfleet Multi-Sector Bond ETF,S000048895,549300GEZPD8IV08PZ43,21540181.14,1307806.63,20232374.51,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,19975.0,0.0,0.0,0.0,0.0,0.0,-162.0,-2122.0,-2192.0,0.0,0.0,-1106.0,-2440.0,-1191.0,N,38371.13,-204418.41,35541.86,-197225.41,8084.92,130446.21,0.0,0.0,0.0,0.0,0.0,0.0,1266796.65,0.0,0.0,124476.0,USD,0.0,-17.0,-1262.0,-3966.0,-3087.0,0.0,-1710.0,-126248.0,-396608.0,-308688.0,,,,,,,,,,329081,C000153845,-0.5977,-0.5598,1.0903,,,,,,,,,,,,,
0001752724-21-115852,43996285,1609488000,2021-05-27,CITADEL LLC 2/27/28,,CITADEL LLC 2/27/28,000000000,785717.68,PA,,USD,778512.65,,0.662728037289,Long,LON,,CORP,,US,N,2.0,,2021Q4,,NPORT-P,N,31-DEC-2021,31-MAR-2021,27-MAY-2021,1583001,First Eagle Senior Loan Fund,811-22874,5493004GLL53XSOC8E14,227 West Monroe Street,Suite 3200,Chicago,US-IL,US,60606,312-702-8199,First Eagle Senior Loan Fund,,5493004GLL53XSOC8E14,173806544.99,56335635.93,117470909.06,0.0,0.0,45500000.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,,0.0,213.61424,247.98155,0.0,0.0,105.7676,17964.15914,8835.03916,160.0443,0.0,N,191568.43,1629313.01,522809.22,127844.81,124067.34,-456709.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120890.0,USD,1863.22084,5039.58845,2246.42809,280.41351,0.0,186322.08935,503958.84652,224642.80885,28041.34603,0.0,,,,,,,,,,321892,,1.99,0.89,0.12,,,,,,,,,,,,,
0001752724-21-128360,45125654,1609488000,2021-06-16,Citadel Securities LP,549300NV5RXBUS3X7L47,Citadel Securities LP 2021 Term Loan B,17288YAD4,151758.45,PA,,USD,150240.87,,0.085708776883,Long,LON,,CORP,,US,N,2.0,,2021Q4,,NPORT-P,N,31-OCT-2021,30-APR-2021,16-JUN-2021,351601,RUSSELL INVESTMENT CO,811-03153,549300J63VJ9OS4TCK93,1301 SECOND AVENUE,18TH FLOOR,SEATTLE,US-WA,US,98101,800-787-7354,Unconstrained Total Return Fund,S000054778,549300XXLJ6MGU95XN21,339963285.58,164671004.6,175292280.98,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,19798497.05,0.0,0.0,44868807.58,-28.47,-2128.39,-7365.45,-460.36,0.0,-174.93,-6723.01,-24296.32,-4672.33,-284.65,N,2961756.45,-5124178.9,-977618.61,-2351587.8,4069890.27,-3232899.83,27496799.44,0.0,68269774.54,2366006.43,0.0,8111434.31,27821014.85,1374087.18,520896276.28,123946.0,CAD,48.88,-36.29,-1062.66,-1526.53,0.0,4892.19,-3606.54,-104596.2,-148978.66,0.0,,,,,,,,,,327402,C000172178,0.1,-0.1,0.0,,,,,,,,,,,,,
0001752724-21-110321,43515369,1609488000,2021-05-25,Citadel Securities LP,549300NV5RXBUS3X7L47,Citadel Securities LP 2021 Term Loan B,17288YAD4,3900000.0,PA,,USD,3854487.0,,0.20248564655,Long,LON,,CORP,,US,N,2.0,,2021Q1,,NPORT-P,N,31-MAR-2021,31-MAR-2021,25-MAY-2021,822977,GOLDMAN SACHS TRUST,811-05349,S2FHCT8U6D2VORP0J605,71  SOUTH WACKER DRIVE,C/O GOLDMAN SACHS & CO,CHICAGO,US-IL,US,60606,312-655-4400,Goldman Sachs High Yield Floating Rate Fund,S000029320,20OHG0KU8S4HBIU77D72,2159095788.63,255510489.79,1903585298.84,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,245152156.37,0.0,0.0,44585688.29,6837.81,453.7,4787.91,9872.96,1308.1,15788.84,57522.18,500600.26,95385.41,0.0,N,-1598584.36,13682729.1,800126.44,2341749.57,-381249.31,-7133119.94,242813464.45,4287994.54,20311757.53,228594466.9,4272380.41,62937600.1,208304709.12,4222728.66,44743119.2,119284.0,CHF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,317569,C000090163,1.12,0.53,-0.08,,,,,,,,,,,,,
0001752724-21-082040,41856272,1609488000,2021-04-23,CITADEL SECS LP,549300NV5RXBUS3X7L47,CITADEL TERM B 1LN 02/27/2028,,5345000.0,PA,,USD,5313250.7,,0.03236849396,Long,LON,,CORP,,US,N,2.0,,2021Q3,,NPORT-P,N,31-AUG-2021,28-FEB-2021,23-APR-2021,35315,Fidelity Salem Street Trust,811-02105,S4W85DGKOEJ24DPRB829,245 Summer Street,,Boston,US-MA,US,02210,1-800-FIDELITY,Fidelity SAI Total Bond Fund,S000062237,549300PXI48DGSRO4U72,18881233159.49,2466349270.98,16414883888.51,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,1207306780.55,0.0,0.0,0.0,19898290.5897775,1035798.14364019,2579883.43748302,2331003.18325227,2690334.72280887,13683044.2666152,339735.22865619,415460.4487811,215098.38727299,39917.8261303,N,12958129.62,67513979.38,45534797.45,-146264688.69,-21400723.58,-190882028.39,50000000.0,52743117.27,19225263.2,225000000.0,35114807.49,39637863.67,100000000.0,36147228.53,0.0,115240.0,EUR,496.7716401,13980.10459939,34407.50431401,30237.51577371,8458.79207856,49677.0433201,1398010.34462687,3440750.46002191,3023751.45188802,845879.23363557,296314.0,JPMORGAN SECURITIES LLC,ZBUT11V806EZRVTWT807,162476237.82,,,,,,306375,C000201533,0.71,-0.43,-1.13,,,,,,,,,,,,,
0001752724-21-133619,45270733,1609488000,2021-06-23,Citadel Securities LP,,"Citadel Securities LP, Term Loan B",17288YAD4,4300000.0,PA,,USD,4266417.0,,0.358663411141,Long,LON,,CORP,,US,N,2.0,,2021Q4,,NPORT-P,N,31-OCT-2021,30-APR-2021,23-JUN-2021,809707,Franklin Investors Securities Trust,811-04986,549300XUGIR9DEQFV548,One Franklin Parkway,,San Mateo,US-CA,US,94403-1906,650-312-2000,Franklin Floating Rate Daily Access Fund,S000006853,NDVQZJLQKYEB9K3LB498,1359078441.84,169546176.36,1189532265.48,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,120943631.51,0.0,0.0,64056265.21,0.0,-246.29,-2833.7,-5530.76,-64.6,-514.17,-46011.77,-324269.79,-65201.99,0.0,N,-4158.58,6959507.79,836546.75,-2418898.55,-72425274.46,78686915.63,29979073.93,5955571.19,31875250.39999999,46344080.60999999,2845.88,38329275.72999999,35278607.52,3229379.81,26613481.48999999,124492.0,USD,-560.65,-16307.96,-84732.47,-24602.05,-2.96,-56064.59,-1630796.24,-8473247.11,-2460205.14,-296.35,,,,,,,,,,329135,C000018519,0.7953632,0.301322,0.799307,,,,,,,,,,,,,
0001145549-21-034510,44833364,1609488000,2021-06-01,CITADEL SECURITIES LP,549300NV5RXBUS3X7L47,Citadel Securities LP,17288YAD4,500000.0,PA,,USD,495415.0,,1.7001361923,Long,LON,,CORP,,US,N,2.0,,2021Q4,,NPORT-P,N,31-DEC-2021,31-MAR-2021,01-JUN-2021,811030,Professionally Managed Portfolios,811-05037,254900BPISCYGRJD2727,615 East Michigan Street,,Milwaukee,US-WI,US,53202,626-914-7363,Muzinich High Income Floating Rate Fund,S000036428,2549007KXO0A2FC5J843,37847328.342,8707603.992,29139724.35,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,10089177.57,267.59,0.0,0.0,0.0,0.0,10218.77,464.97,858.89,173.18,0.0,N,19175.71,154639.77,56763.42,-2399.29,46023.09,-191489.36,255000.0,3240.35,-425.96,9600000.0,1689.49,-3500166.05,4900000.0,2898.24,-284.45,123593.0,USD,2093.47,301.09,424.55,77.31,0.0,209346.28,30109.42,42453.72,7730.71,0.0,,,,,,,,,,326727,C000111436,1.28,0.68,-0.01,,,,,,,,,,,,,
0001752724-21-118807,44568284,1609488000,2021-05-28,Citadel Finance LLC,549300BQL283NCR7P163,Citadel Finance LLC,17287HAA8,2500000.0,PA,,USD,2473246.05,,0.332543170228,Long,DBT,,CORP,,US,N,2.0,,2021Q4,,NPORT-P,N,31-DEC-2021,31-MAR-2021,28-MAY-2021,810016,Ivy Variable Insurance Portfolios,811-05017,72XHPUAYSOH6ROSGJT53,6300 Lamar Avenue,P.O. Box 29217,Shawnee Mission,US-KS,US,66201,18007776472,Ivy VIP Asset Strategy,S000006224,LR584WSYBGBM65CJ2268,756969316.19,13232480.97,743736835.22,0.0,35490230.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,-7670.02982784,-4639.62435944,-31810.37307262,-51726.40163594,-42347.73996339,-1.48126091,-245.69179295,-96.79697705,-67.13733325,-987.93604095,Y,17911333.43,-33621839.95,9256841.67,760594.96,16537645.48,-8672433.02,1797946.38,0.0,11029662.18,1820002.25,0.0,9958758.28,2536373.02,0.0,11637679.94,123006.0,CNY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313380.0,TD PRIME SERVICES LLC,549300ZBQI1JB1844X09,112148.17,14680.0,6527343.24,1821378.21,ACMO,,325230,C000190645,-0.02050452,0.01391894,0.014084,,,,,,,,,,,,,
0000810893-21-002807,44419764,1609488000,2021-05-28,CITADEL SECURITIES LP,549300NV5RXBUS3X7L47,CITADEL SECURITIES LP 2021 TERM LOAN B,17288YAD4,600000.0,PA,,USD,594468.6,,0.1451635,Long,LON,,CORP,,US,N,2.0,,2021Q1,,NPORT-P,N,31-MAR-2021,31-MAR-2021,28-MAY-2021,810893,PIMCO Funds,811-05028,00000000000000000000,650 Newport Center Drive,,Newport Beach,US-CA,US,92660,(888) 877-4626,PIMCO Credit Opportunities Bond Fund,S000033596,OZ5WCS502FZE6NVLXP08,436565443.16,27048941.36,409516501.8,0.0,0.0,3653128.54,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,13808621.79,-168.9059,4288.9569,30832.4197,12520.1848,-4974.3104,23907.5034,22038.7691,37690.4724,5522.6017,124.7401,N,691107.15,-1129109.42,141675.06,-1925214.17,2624323.92,-6129380.56,17235664.8,0.0,-11688180.52,15448710.91,0.0,-30772031.68,21831640.21,1902731.07,-22585479.98,122297.0,GBP,0.0,629.192109,9395.286092,-1420.815148,-6758.263626,0.0,73470.0604,926260.610417,-123205.6127,-572260.588609,,,,,,,,,,324681,C000103225,0.40568,0.0,-0.174545,,,,,,,,,,,,,
0001752724-21-141381,45850803,1609488000,2021-06-28,"Citadel on Colfax Business Improvement District, Aurora, Colorado, Special Revenue and Tax Supported Bonds, Senior Series 2020A",,"Citadel on Colfax Business Improvement District, Aurora, Colorado, Special Revenue and Tax Supported Bonds, Senior Series 2020A",17288AAA2,1450000.0,PA,,USD,1568204.0,,0.172834352022,Long,DBT,,MUN,,US,N,2.0,,2021Q4,,NPORT-P,N,31-OCT-2021,30-APR-2021,28-JUN-2021,1793129,Nuveen Dynamic Municipal Opportunities Fund,811-23489,549300U0TWS55O2SJ275,333 W. Wacker Dr,,Chicago,US-IL,US,60606,312-917-7700,Nuveen Dynamic Municipal Opportunities Fund,,549300U0TWS55O2SJ275,1342434262.0,435089176.0,907345086.0,0.0,0.0,176900000.0,0.0,0,0.0,0.0,0,0,0.0,49582163.0,0.0,0.0,17991711.0,,,,,,,,,,,N,3883089.36,-28929373.67,-600832.08,8277743.12,2101404.06,16975341.68,0.0,240555.0,0.0,0.0,569998.0,0.0,0.0,569793.0,0.0,,,,,,,,,,,,,,,,,,,,,,335222,,-2.396875,1.328828,2.211231,,,,,,,,,,,,,
0001752724-21-140120,45642517,1609488000,2021-06-28,Citadel Securities LP,549300NV5RXBUS3X7L47,Citadel Securities LP 2021 Term Loan B,17288YAD4,1080000.0,PA,,USD,1069200.0,,0.035332184515,Long,LON,,CORP,,US,N,2.0,,2021Q4,,NPORT-P,N,31-OCT-2021,30-APR-2021,28-JUN-2021,723620,NEUBERGER BERMAN INCOME FUNDS,811-03802,54930087F7MMJ21RIJ90,1290 AVENUE OF THE AMERICAS,,NEW YORK,US-NY,US,10104,212-476-8800,Neuberger Berman Strategic Income Fund,S000007834,549300J7BX0YC0GM5Q87,3595238338.03,569102211.29,3026136126.74,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,514459654.5,0.0,0.0,4463973.47,-272239.0,-8225.0,-42464.0,-184315.0,-400868.0,-100487.0,-14048.0,-318611.0,-253015.0,-181751.0,N,3871577.71,-37251448.72,-56327.19,-30736372.22,-19120.24,30456506.47,90138714.14,7153901.62,105987148.09,95237917.68,7635555.87,52733207.08,99690932.81,9366507.98,52171102.63,125976.0,USD,-6342.84,-135458.14,-344152.5,-373497.46,-345839.47,-634274.81,-13545815.54,-34415255.64,-37349752.26,-34583946.46,321586.0,Credit Suisse Securities (USA) LLC,1V8Y6QCX6YMJ2OELII46,1469220.1,,,,,,333792,C000057303,-0.03,-0.06,1.01,,,,,,,,,,,,,
0001752724-21-141571,45839251,1609488000,2021-06-28,Citadel on Colfax Business Improvement District,,Citadel on Colfax Business Improvement District,17288AAA2,1000000.0,PA,,USD,1081520.1,,0.009836280881,Long,DBT,,MUN,,US,N,2.0,,2021Q4,,NPORT-P,N,31-OCT-2021,30-APR-2021,28-JUN-2021,1469192,MAINSTAY FUNDS TRUST,811-22321,549300SQRLBSUG7RD002,51 Madison Avenue,,New York,US-NY,US,10010,212-576-7000,MainStay MacKay High Yield Municipal Bond Fund,S000028227,549300QXVF3SZ2KO6339,11032967574.02,37753905.5,10995213668.52,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,2213480.0,0.0,0.0,235557126.92,-178.34,-12015.12,-59548.72,-1023096.92,-4489732.73,-4579.03,-28713.02,-56330.42,-794539.22,-3891188.81,N,4691743.33,-145789893.22,403774.78,66963731.63,-234590.34,116245340.86,437776968.3,16689472.55,192901785.89,809830745.76,16315401.32,284209453.12,396368630.21,18243264.39999999,138030455.45,126514.0,USD,41347.08,-23105.65,-104950.2,-1828085.13,-8365226.66,3822288.49,-2352393.15,-10147108.95,-180794005.3,-842059170.0,,,,,,,,,,335081,C000086337,-1.169811,0.79,1.24,,,,,,,,,,,,,
